# of Votes, Ranking
1351,5.80
157,6.50
939,6.60
93,6.40
1623,6.20
79,5.60
544,5.50
1445,5.60
62,5.40
4859,6.90
193,5.40
8038,7.40
1233,5.70
3522,7.20
604,6.20
915,5.90
181,4.80
389,5.50
12,6.70
218,5.10
698,5.10
870,5.60
18,5.80
14,5.00
1080,5.70
725,5.60
663,5.20
2317,5.90
558,5.30
646,5.60
271,5.20
685,5.60
92,5.70
43,5.80
396,4.50
32,4.70
120,4.30
10,4.70
28,4.20
1125,6.70
15,4.70
7,4.40
19,4.70
12,4.80
13,4.50
10,3.70
90,5.50
17,6.10
10,4.50
8,4.10
30,4.40
5,2.80
13,5.80
10,4.30
6,3.50
9,4.80
9,4.10
7,3.90
55,8.10
9,4.30
129,6.50
6,3.80
7,3.70
7,4.00
7,4.00
31,6.20
7,4.30
252,4.80
1819,6.40
10,3.90
8,4.50
7,4.30
11,4.50
1114,6.30
361,4.50
12,5.20
31,4.40
12,4.60
9,4.40
9,4.40
17,5.60
12,5.20
9,4.80
12,5.20
10,4.40
13,5.20
10,5.20
647,6.30
9,4.30
1990,6.70
7,5.30
50,5.30
9,4.60
13,5.10
7,5.10
13,5.40
14,6.10
10,5.30
23,5.30
8,5.10
8,5.40
9,6.80
322,5.60
9,6.20
6,5.30
8,6.60
366,4.50
363,4.60
366,4.50
375,4.50
360,4.60
374,4.50
10,6.30
9,6.60
9,6.40
86,5.50
10,6.40
10,6.40
13,6.30
28,4.40
9,6.40
45,6.00
9,6.60
10,6.80
8,5.00
17,6.30
26,7.40
8,6.50
750,5.80
661,5.10
15,7.60
45,7.30
221,6.20
558,6.50
9,6.20
170,5.20
41,5.40
7,5.60
150,5.00
161,5.20
7,6.10
249,5.20
5,6.00
70,5.50
21,5.20
93,6.30
209,5.70
6,5.20
6,4.80
32,5.40
7,5.70
334,5.50
172,5.20
57,5.10
73,4.60
8,4.90
134,5.40
373,6.10
12,5.50
78,5.10
111,5.10
146,4.70
18,5.90
8,5.00
26,7.70
372,5.00
10,6.70
208,4.90
9,4.70
20,5.80
94,5.50
112,4.60
62,5.50
8,5.50
9,6.40
385,5.80
9,5.90
2382,7.50
138,4.60
38,4.90
76,4.50
372,5.90
21,7.40
134,4.60
8,6.40
13,5.50
153,5.00
55,4.70
1031,6.60
26,7.00
371,6.30
133,5.60
39,4.50
606,6.40
15,7.30
755,6.50
334,5.00
992,5.90
54,5.60
7,4.40
110,4.70
32,6.20
260,5.80
82,4.50
80,5.30
5,7.80
521,5.60
365,5.40
138,5.80
7,8.10
39,6.30
11,6.40
129,5.40
130,5.80
109,5.00
119,5.40
46,5.50
172,6.00
122,5.50
836,7.00
220,4.40
90,5.10
774,6.00
130,5.60
52,4.80
22,6.10
568,6.20
12,7.80
540,5.90
70,6.10
144,4.80
5,7.60
32,6.20
275,5.10
183,5.10
244,5.10
141,5.10
70,4.40
72,6.10
488,5.90
9,7.40
232,5.30
442,6.20
242,6.00
463,6.20
1945,7.20
9,8.30
78,6.40
102,5.50
8,7.20
258,5.60
29,6.10
6,7.80
76,6.70
11,7.10
